season,bowler,runs_conceded,balls_bowled,wickets,extras_conceded,wides,noballs,economy,bowling_avg,bowling_sr
2014,MG Johnson,425,340,17,25,13,6,7.94,26.47,20.0
2014,MK Tiwary,28,12,0,0,0,0,14.0,inf,inf
2014,MM Sharma,451,324,26,6,1,0,8.46,17.58,12.46
2014,Mohammed Shami,348,281,10,33,16,1,8.14,38.1,28.1
2014,NM Coulter-Nile,25,26,2,2,1,1,6.23,13.5,13.0
2014,P Awana,240,146,9,8,4,1,10.19,27.56,16.22
2014,P Kumar,77,73,4,4,1,0,6.66,20.25,18.25
2014,P Negi,74,43,1,2,1,0,10.6,76.0,43.0
2014,P Suyal,32,21,1,3,3,0,10.0,35.0,21.0
2014,PJ Cummins,29,24,2,0,0,0,7.25,14.5,12.0
2014,PP Chawla,302,238,14,2,1,0,7.66,21.71,17.0
2014,PP Ojha,366,282,5,19,6,0,8.19,77.0,56.4
2014,PV Tambe,342,304,15,23,10,0,7.2,24.33,20.27
2014,Parvez Rasool,80,56,1,3,2,0,8.89,83.0,56.0
2014,R Ashwin,414,379,17,32,20,0,7.06,26.24,22.29
2014,R Bhatia,279,232,13,8,4,0,7.42,22.08,17.85
2014,R Dhawan,346,294,15,27,10,0,7.61,24.87,19.6
2014,R Rampaul,36,37,2,1,1,0,6.0,18.5,18.5
2014,R Sharma,65,36,1,0,0,0,10.83,65.0,36.0
2014,R Shukla,94,58,3,11,1,3,10.86,35.0,19.33
2014,R Tewatia,58,55,3,1,1,0,6.44,19.67,18.33
2014,R Vinay Kumar,279,194,10,15,2,0,9.09,29.4,19.4
2014,RA Jadeja,436,332,20,10,6,0,8.06,22.3,16.6
2014,RG Sharma,26,18,1,0,0,0,8.67,26.0,18.0
2014,RN ten Doeschate,35,30,1,0,0,0,7.0,35.0,30.0
2014,S Badree,90,87,2,13,3,0,7.1,51.5,43.5
2014,S Gopal,112,85,6,1,1,0,7.98,18.83,14.17
2014,S Kaul,122,82,2,14,4,0,9.95,68.0,41.0
2014,S Nadeem,303,235,9,11,6,1,8.02,34.89,26.11
2014,S Rana,16,12,0,0,0,0,8.0,inf,inf
2014,SA Yadav,8,6,0,0,0,0,8.0,inf,inf
2014,SB Jakati,41,22,0,0,0,0,11.18,inf,inf
2014,SK Raina,133,109,1,2,1,0,7.43,135.0,109.0
2014,SL Malinga,244,243,17,23,7,1,6.59,15.71,14.29
2014,SP Narine,416,392,22,16,0,2,6.61,19.64,17.82
2014,SR Watson,157,134,7,12,5,3,7.57,24.14,19.14
2014,STR Binny,64,54,4,1,0,0,7.22,16.25,13.5
